epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,180.428,0.83208,0.70984,1.15463,0.79596,0.73713,0.77519,0.51788,1.25617,1.04063,1.57699,0.000863116,0.000863116,0.000863116
82,182.407,0.83104,0.747,1.1614,0.71348,0.72031,0.76506,0.49341,1.27174,1.09735,1.63725,0.000856042,0.000856042,0.000856042
83,184.383,0.80398,0.69861,1.12362,0.74924,0.7799,0.79219,0.51632,1.24583,0.94196,1.63649,0.000848969,0.000848969,0.000848969
84,186.392,0.78075,0.65645,1.10249,0.75859,0.74555,0.77098,0.50979,1.22527,0.97871,1.64869,0.000841895,0.000841895,0.000841895
85,188.358,0.82048,0.68727,1.13206,0.78819,0.74502,0.78535,0.54399,1.18781,0.96481,1.60217,0.000834822,0.000834822,0.000834822
86,190.308,0.82379,0.69956,1.15137,0.71556,0.69907,0.7616,0.53299,1.14107,0.93882,1.5289,0.000827748,0.000827748,0.000827748
87,192.268,0.80346,0.64798,1.15287,0.80179,0.69591,0.8039,0.51871,1.27112,1.02431,1.60406,0.000820675,0.000820675,0.000820675
88,194.271,0.76944,0.66808,1.11668,0.83394,0.73254,0.81421,0.52924,1.22668,0.94368,1.63179,0.000813601,0.000813601,0.000813601
89,196.238,0.76666,0.66826,1.1235,0.74949,0.67353,0.73759,0.48744,1.28389,1.15006,1.65799,0.000806528,0.000806528,0.000806528
90,198.243,0.77965,0.65484,1.12757,0.68162,0.70827,0.73411,0.48868,1.34477,1.26731,1.72281,0.000799454,0.000799454,0.000799454
91,200.271,0.79881,0.65789,1.12237,0.88067,0.76051,0.82804,0.55287,1.2081,0.94349,1.57566,0.00079238,0.00079238,0.00079238
92,202.251,0.75143,0.62891,1.11211,0.79491,0.74142,0.81395,0.55245,1.16613,0.99681,1.55721,0.000785307,0.000785307,0.000785307
93,204.251,0.80597,0.67886,1.1408,0.71946,0.79076,0.81065,0.54914,1.2148,0.94504,1.63994,0.000778233,0.000778233,0.000778233
94,206.217,0.77341,0.66817,1.12185,0.73973,0.7593,0.79827,0.55622,1.13639,0.92915,1.5142,0.00077116,0.00077116,0.00077116
95,208.221,0.7378,0.63876,1.09933,0.77968,0.74376,0.77483,0.54299,1.16825,1.00207,1.52362,0.000764086,0.000764086,0.000764086
96,210.175,0.76874,0.61011,1.11503,0.71639,0.78318,0.7556,0.54138,1.17502,1.03059,1.51996,0.000757013,0.000757013,0.000757013
97,212.155,0.76065,0.63725,1.11671,0.79096,0.76287,0.7982,0.53405,1.17941,1.02305,1.53974,0.000749939,0.000749939,0.000749939
98,214.151,0.76824,0.63334,1.10954,0.82369,0.71458,0.81191,0.54963,1.24969,0.97084,1.60731,0.000742866,0.000742866,0.000742866
99,216.118,0.75174,0.59147,1.10711,0.79645,0.81362,0.79485,0.52848,1.22617,0.89482,1.5789,0.000735792,0.000735792,0.000735792
100,218.11,0.76093,0.63382,1.1127,0.85257,0.76246,0.81694,0.54297,1.17081,0.84672,1.53113,0.000728719,0.000728719,0.000728719
101,220.121,0.75534,0.64151,1.10101,0.75574,0.65858,0.76318,0.50127,1.17442,1.05189,1.5434,0.000721645,0.000721645,0.000721645
102,222.221,0.75688,0.63024,1.10328,0.85276,0.75528,0.81614,0.55675,1.17173,0.86814,1.58312,0.000714571,0.000714571,0.000714571
103,224.275,0.78927,0.64215,1.14763,0.81989,0.80266,0.83881,0.56615,1.18062,0.85347,1.54114,0.000707498,0.000707498,0.000707498
104,226.25,0.74175,0.61937,1.09397,0.78882,0.77629,0.81448,0.55977,1.16218,0.8533,1.51563,0.000700424,0.000700424,0.000700424
105,229.534,0.74244,0.62179,1.10205,0.80813,0.79219,0.81735,0.58501,1.12042,0.82542,1.46248,0.000693351,0.000693351,0.000693351
106,233.103,0.72466,0.58801,1.09594,0.65986,0.64488,0.74775,0.50674,1.15332,1.08944,1.52145,0.000686277,0.000686277,0.000686277
107,235.39,0.72061,0.58771,1.09886,0.62198,0.67609,0.7543,0.52074,1.12338,1.02764,1.4748,0.000679204,0.000679204,0.000679204
108,237.378,0.7503,0.58281,1.087,0.69351,0.67539,0.74949,0.51393,1.13828,0.93473,1.48026,0.00067213,0.00067213,0.00067213
109,239.493,0.69879,0.55553,1.07421,0.69163,0.72508,0.72568,0.50191,1.24586,0.97492,1.59364,0.000665057,0.000665057,0.000665057
110,241.581,0.71571,0.5741,1.08332,0.66318,0.79131,0.80419,0.5895,1.0768,0.85524,1.48045,0.000657983,0.000657983,0.000657983
111,243.638,0.70602,0.57429,1.09647,0.83572,0.67981,0.79119,0.56984,1.11069,0.93136,1.50505,0.000650909,0.000650909,0.000650909
112,245.726,0.69701,0.60166,1.09607,0.77692,0.837,0.81161,0.56893,1.13213,0.85099,1.48116,0.000643836,0.000643836,0.000643836
113,247.842,0.68492,0.56667,1.07057,0.82361,0.69027,0.76691,0.54931,1.14397,0.92246,1.5255,0.000636762,0.000636762,0.000636762
114,249.955,0.70116,0.57134,1.09506,0.71864,0.74206,0.80734,0.58915,1.0812,0.8696,1.45615,0.000629689,0.000629689,0.000629689
115,251.991,0.6905,0.56878,1.0664,0.74336,0.76694,0.80838,0.57495,1.13155,0.86043,1.53199,0.000622615,0.000622615,0.000622615
