epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,230.776,0.99385,0.90665,1.26771,0.90263,0.77259,0.86069,0.49658,1.45683,1.30405,1.92225,0.00173874,0.00173874,0.00173874
73,234.709,0.9603,0.85803,1.25684,0.88115,0.82382,0.86017,0.50098,1.40551,1.2361,1.90042,0.00173168,0.00173168,0.00173168
74,238.471,0.99663,0.89018,1.25281,0.84589,0.76236,0.86693,0.5414,1.38828,1.08816,1.87034,0.00172454,0.00172454,0.00172454
75,240.733,0.99701,0.85393,1.29221,0.6658,0.8301,0.80045,0.51174,1.29153,1.43446,1.78828,0.00171733,0.00171733,0.00171733
76,242.674,1.00636,0.89557,1.29766,0.79475,0.80556,0.86487,0.52706,1.33402,1.29594,1.77165,0.00171004,0.00171004,0.00171004
77,244.552,0.99286,0.91356,1.27584,0.93523,0.77778,0.89776,0.534,1.42647,1.08831,1.86062,0.00170267,0.00170267,0.00170267
78,246.407,0.87885,0.78969,1.21856,0.77722,0.77528,0.82538,0.51803,1.40052,1.20956,1.86731,0.00169522,0.00169522,0.00169522
79,248.254,0.93055,0.78747,1.22609,0.81956,0.79167,0.85137,0.55419,1.31177,1.15321,1.7565,0.0016877,0.0016877,0.0016877
80,250.124,0.93854,0.82716,1.22482,0.90455,0.79167,0.89128,0.53564,1.44719,1.25198,1.92048,0.00168011,0.00168011,0.00168011
81,252.033,0.96714,0.82496,1.25933,0.85318,0.88779,0.91048,0.56178,1.39027,1.15707,1.80502,0.00167244,0.00167244,0.00167244
82,253.958,0.97162,0.88661,1.2904,0.8674,0.83333,0.8908,0.54707,1.35675,0.94381,1.82547,0.0016647,0.0016647,0.0016647
83,255.832,1.00378,0.91758,1.29459,0.82913,0.86111,0.88069,0.57277,1.29192,1.01332,1.79829,0.00165689,0.00165689,0.00165689
84,257.699,0.90899,0.77703,1.23153,0.84049,0.7319,0.82855,0.53893,1.36411,1.21463,1.81799,0.001649,0.001649,0.001649
85,259.573,0.95666,0.80666,1.22956,0.84521,0.83423,0.87172,0.50786,1.48489,1.1581,1.91826,0.00164105,0.00164105,0.00164105
86,261.444,0.99437,0.87639,1.28515,0.82189,0.77778,0.85527,0.55553,1.35413,1.28906,1.8074,0.00163303,0.00163303,0.00163303
87,263.323,0.97662,0.85789,1.27428,0.93374,0.83333,0.91463,0.58011,1.32601,1.05907,1.80373,0.00162494,0.00162494,0.00162494
88,265.216,0.93029,0.83984,1.2289,0.92137,0.81375,0.88726,0.56347,1.35695,1.22609,1.86792,0.00161678,0.00161678,0.00161678
89,267.106,0.92377,0.786,1.24287,0.91421,0.88806,0.91187,0.57753,1.33029,1.04264,1.8373,0.00160855,0.00160855,0.00160855
